;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_ASH_desc;We've had a good run, but it's time to end our rulership of Ashanti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AST_title;Grant Australia Independence;;;;;;;;;;;;x,,
gtfo_AST_desc;We've had a good run, but it's time to end our rulership of Australia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ATJ_title;Grant Aceh Independence;;;;;;;;;;;;x,,
gtfo_ATJ_desc;We've had a good run, but it's time to end our rulership of Aceh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUA_title;Grant Awngthim Independence;;;;;;;;;;;;x,,
gtfo_AUA_desc;We've had a good run, but it's time to end our rulership of Awngthim: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUE_title;Grant Eora Independence;;;;;;;;;;;;x,,
gtfo_AUE_desc;We've had a good run, but it's time to end our rulership of Eora: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUG_title;Grant Austria-Hungary Independence;;;;;;;;;;;;x,,
gtfo_AUG_desc;We've had a good run, but it's time to end our rulership of Austria-Hungary: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUI_title;Grant Kamilaroi Independence;;;;;;;;;;;;x,,
gtfo_AUI_desc;We've had a good run, but it's time to end our rulership of Kamilaroi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUK_title;Grant Kaurna Independence;;;;;;;;;;;;x,,
gtfo_AUK_desc;We've had a good run, but it's time to end our rulership of Kaurna: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUL_title;Grant Larrakia Independence;;;;;;;;;;;;x,,
gtfo_AUL_desc;We've had a good run, but it's time to end our rulership of Larrakia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUM_title;Grant Mianjin Independence;;;;;;;;;;;;x,,
gtfo_AUM_desc;We've had a good run, but it's time to end our rulership of Mianjin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUO_title;Grant Nyoongah Independence;;;;;;;;;;;;x,,
gtfo_AUO_desc;We've had a good run, but it's time to end our rulership of Nyoongah: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUP_title;Grant Palawa Independence;;;;;;;;;;;;x,,
gtfo_AUP_desc;We've had a good run, but it's time to end our rulership of Palawa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUW_title;Grant Wurundjeri Independence;;;;;;;;;;;;x,,
gtfo_AUW_desc;We've had a good run, but it's time to end our rulership of Wurundjeri: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUY_title;Grant Yolngu Independence;;;;;;;;;;;;x,,
gtfo_AUY_desc;We've had a good run, but it's time to end our rulership of Yolngu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUZ_title;Grant Malgana Independence;;;;;;;;;;;;x,,
gtfo_AUZ_desc;We've had a good run, but it's time to end our rulership of Malgana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AVA_title;Grant Pagans Independence;;;;;;;;;;;;x,,
gtfo_AVA_desc;We've had a good run, but it's time to end our rulership of Pagans: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAV_title;Grant Bavaria Independence;;;;;;;;;;;;x,,
gtfo_BAV_desc;We've had a good run, but it's time to end our rulership of Bavaria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BIA_title;Grant Igbo-Benue Independence;;;;;;;;;;;;x,,
gtfo_BIA_desc;We've had a good run, but it's time to end our rulership of Igbo-Benue: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BLC_title;Grant Baluchistan Independence;;;;;;;;;;;;x,,
gtfo_BLC_desc;We've had a good run, but it's time to end our rulership of Baluchistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BNG_title;Grant Senas Independence;;;;;;;;;;;;x,,
gtfo_BNG_desc;We've had a good run, but it's time to end our rulership of Senas: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRT_title;Grant Brittany Independence;;;;;;;;;;;;x,,
gtfo_BRT_desc;We've had a good run, but it's time to end our rulership of Brittany: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRU_title;Grant Brunei Independence;;;;;;;;;;;;x,,
gtfo_BRU_desc;We've had a good run, but it's time to end our rulership of Brunei: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRZ_title;Grant JUNGELFOLK Independence;;;;;;;;;;;;x,,
gtfo_BRZ_desc;We've had a good run, but it's time to end our rulership of JUNGELFOLK: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BTS_title;Grant Betsimisaraka Independence;;;;;;;;;;;;x,,
gtfo_BTS_desc;We've had a good run, but it's time to end our rulership of Betsimisaraka: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BTU_title;Grant Butuan Independence;;;;;;;;;;;;x,,
gtfo_BTU_desc;We've had a good run, but it's time to end our rulership of Butuan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BUN_title;Grant Bundelkhand Independence;;;;;;;;;;;;x,,
gtfo_BUN_desc;We've had a good run, but it's time to end our rulership of Bundelkhand: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BYZ_title;Grant Byzantium Independence;;;;;;;;;;;;x,,
gtfo_BYZ_desc;We've had a good run, but it's time to end our rulership of Byzantium: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAB_title;Grant Carib Independence;;;;;;;;;;;;x,,
gtfo_CAB_desc;We've had a good run, but it's time to end our rulership of Carib: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAD_title;Grant Caddo Independence;;;;;;;;;;;;x,,
gtfo_CAD_desc;We've had a good run, but it's time to end our rulership of Caddo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAM_title;Grant Khmer Independence;;;;;;;;;;;;x,,
gtfo_CAM_desc;We've had a good run, but it's time to end our rulership of Khmer: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CCM_title;Grant Chichimeca Independence;;;;;;;;;;;;x,,
gtfo_CCM_desc;We've had a good run, but it's time to end our rulership of Chichimeca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CCQ_title;Grant Calchaqui Independence;;;;;;;;;;;;x,,
gtfo_CCQ_desc;We've had a good run, but it's time to end our rulership of Calchaqui: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHA_title;Grant Champa Independence;;;;;;;;;;;;x,,
gtfo_CHA_desc;We've had a good run, but it's time to end our rulership of Champa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHE_title;Grant Cherokee Independence;;;;;;;;;;;;x,,
gtfo_CHE_desc;We've had a good run, but it's time to end our rulership of Cherokee: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHM_title;Grant Chimu Independence;;;;;;;;;;;;x,,
gtfo_CHM_desc;We've had a good run, but it's time to end our rulership of Chimu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CLM_title;Grant KNARKFOLK Independence;;;;;;;;;;;;x,,
gtfo_CLM_desc;We've had a good run, but it's time to end our rulership of KNARKFOLK: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CMA_title;Grant Colima Independence;;;;;;;;;;;;x,,
gtfo_CMA_desc;We've had a good run, but it's time to end our rulership of Colima: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRA_title;Grant Charca Independence;;;;;;;;;;;;x,,
gtfo_CRA_desc;We've had a good run, but it's time to end our rulership of Charca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRK_title;Grant Creek Independence;;;;;;;;;;;;x,,
gtfo_CRK_desc;We've had a good run, but it's time to end our rulership of Creek: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRO_title;Grant Croatia Independence;;;;;;;;;;;;x,,
gtfo_CRO_desc;We've had a good run, but it's time to end our rulership of Croatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CST_title;Grant Castille Independence;;;;;;;;;;;;x,,
gtfo_CST_desc;We've had a good run, but it's time to end our rulership of Castille: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CSU_title;Grant Cuzco Independence;;;;;;;;;;;;x,,
gtfo_CSU_desc;We've had a good run, but it's time to end our rulership of Cuzco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CUA_title;Grant Charrua Independence;;;;;;;;;;;;x,,
gtfo_CUA_desc;We've had a good run, but it's time to end our rulership of Charrua: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CUB_title;Grant Offshore Tax Haven Inc Independence;;;;;;;;;;;;x,,
gtfo_CUB_desc;We've had a good run, but it's time to end our rulership of Offshore Tax Haven Inc: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CXI_title;Grant Xi Independence;;;;;;;;;;;;x,,
gtfo_CXI_desc;We've had a good run, but it's time to end our rulership of Xi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CYA_title;Grant Chachapoya Independence;;;;;;;;;;;;x,,
gtfo_CYA_desc;We've had a good run, but it's time to end our rulership of Chachapoya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CYI_title;Grant Yi Independence;;;;;;;;;;;;x,,
gtfo_CYI_desc;We've had a good run, but it's time to end our rulership of Yi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DES_title;Grant Irish Commiefornia Independence;;;;;;;;;;;;x,,
gtfo_DES_desc;We've had a good run, but it's time to end our rulership of Irish Commiefornia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DLH_title;Grant Delhi Independence;;;;;;;;;;;;x,,
gtfo_DLH_desc;We've had a good run, but it's time to end our rulership of Delhi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DOM_title;Grant BIG CASINO Independence;;;;;;;;;;;;x,,
gtfo_DOM_desc;We've had a good run, but it's time to end our rulership of BIG CASINO: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EGY_title;Grant Egypt Independence;;;;;;;;;;;;x,,
gtfo_EGY_desc;We've had a good run, but it's time to end our rulership of Egypt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENL_title;Grant England Independence;;;;;;;;;;;;x,,
gtfo_ENL_desc;We've had a good run, but it's time to end our rulership of England: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ETH_title;Grant Abyssinia Independence;;;;;;;;;;;;x,,
gtfo_ETH_desc;We've had a good run, but it's time to end our rulership of Abyssinia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FER_title;Grant Ferrara Independence;;;;;;;;;;;;x,,
gtfo_FER_desc;We've had a good run, but it's time to end our rulership of Ferrara: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJL_title;Grant Lau Independence;;;;;;;;;;;;x,,
gtfo_FJL_desc;We've had a good run, but it's time to end our rulership of Lau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJV_title;Grant Viti Levu Independence;;;;;;;;;;;;x,,
gtfo_FJV_desc;We've had a good run, but it's time to end our rulership of Viti Levu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJW_title;Grant Vanua Levu Independence;;;;;;;;;;;;x,,
gtfo_FJW_desc;We've had a good run, but it's time to end our rulership of Vanua Levu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FLR_title;Grant New Ireland Independence;;;;;;;;;;;;x,,
gtfo_FLR_desc;We've had a good run, but it's time to end our rulership of New Ireland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRA_title;Grant France Independence;;;;;;;;;;;;x,,
gtfo_FRA_desc;We've had a good run, but it's time to end our rulership of France: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRI_title;Grant Frisia Independence;;;;;;;;;;;;x,,
gtfo_FRI_desc;We've had a good run, but it's time to end our rulership of Frisia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEN_title;Grant Genoa Independence;;;;;;;;;;;;x,,
gtfo_GEN_desc;We've had a good run, but it's time to end our rulership of Genoa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GER_title;Grant Germany Independence;;;;;;;;;;;;x,,
gtfo_GER_desc;We've had a good run, but it's time to end our rulership of Germany: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GHR_title;Grant Garhwal Independence;;;;;;;;;;;;x,,
gtfo_GHR_desc;We've had a good run, but it's time to end our rulership of Garhwal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GLC_title;Grant Galicia Independence;;;;;;;;;;;;x,,
gtfo_GLC_desc;We've had a good run, but it's time to end our rulership of Galicia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GOC_title;Grant Golkonda Independence;;;;;;;;;;;;x,,
gtfo_GOC_desc;We've had a good run, but it's time to end our rulership of Golkonda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRE_title;Grant Greece Independence;;;;;;;;;;;;x,,
gtfo_GRE_desc;We've had a good run, but it's time to end our rulership of Greece: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRH_title;Grant Great Horde Independence;;;;;;;;;;;;x,,
gtfo_GRH_desc;We've had a good run, but it's time to end our rulership of Great Horde: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRI_title;Grant Guarani Independence;;;;;;;;;;;;x,,
gtfo_GRI_desc;We've had a good run, but it's time to end our rulership of Guarani: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GUG_title;Grant Ghaznavids Independence;;;;;;;;;;;;x,,
gtfo_GUG_desc;We've had a good run, but it's time to end our rulership of Ghaznavids: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GUJ_title;Grant Gujarat Independence;;;;;;;;;;;;x,,
gtfo_GUJ_desc;We've had a good run, but it's time to end our rulership of Gujarat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAN_title;Grant Hanover Independence;;;;;;;;;;;;x,,
gtfo_HAN_desc;We've had a good run, but it's time to end our rulership of Hanover: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAU_title;Grant Hausa Independence;;;;;;;;;;;;x,,
gtfo_HAU_desc;We've had a good run, but it's time to end our rulership of Hausa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HDJ_title;Grant Hejaz Independence;;;;;;;;;;;;x,,
gtfo_HDJ_desc;We've had a good run, but it's time to end our rulership of Hejaz: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HLR_title;Grant Holy Roman Empire Independence;;;;;;;;;;;;x,,
gtfo_HLR_desc;We've had a good run, but it's time to end our rulership of Holy Roman Empire: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HSE_title;Grant Hsenwi Independence;;;;;;;;;;;;x,,
gtfo_HSE_desc;We've had a good run, but it's time to end our rulership of Hsenwi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HST_title;Grant Huastec Independence;;;;;;;;;;;;x,,
gtfo_HST_desc;We've had a good run, but it's time to end our rulership of Huastec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HUR_title;Grant Huron Independence;;;;;;;;;;;;x,,
gtfo_HUR_desc;We've had a good run, but it's time to end our rulership of Huron: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWH_title;Grant Hawai'i Independence;;;;;;;;;;;;x,,
gtfo_HWH_desc;We've had a good run, but it's time to end our rulership of Hawai'i: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWK_title;Grant Kaua'i Independence;;;;;;;;;;;;x,,
gtfo_HWK_desc;We've had a good run, but it's time to end our rulership of Kaua'i: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWM_title;Grant Maui Independence;;;;;;;;;;;;x,,
gtfo_HWM_desc;We've had a good run, but it's time to end our rulership of Maui: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWO_title;Grant O'ahu Independence;;;;;;;;;;;;x,,
gtfo_HWO_desc;We've had a good run, but it's time to end our rulership of O'ahu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ICL_title;Grant Ísland Independence;;;;;;;;;;;;x,,
gtfo_ICL_desc;We've had a good run, but it's time to end our rulership of Ísland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IME_title;Grant Abkhazia Independence;;;;;;;;;;;;x,,
gtfo_IME_desc;We've had a good run, but it's time to end our rulership of Abkhazia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_INN_title;Grant Innu Independence;;;;;;;;;;;;x,,
gtfo_INN_desc;We've had a good run, but it's time to end our rulership of Innu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IRE_title;Grant Ireland Independence;;;;;;;;;;;;x,,
gtfo_IRE_desc;We've had a good run, but it's time to end our rulership of Ireland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IRO_title;Grant Iroquois Independence;;;;;;;;;;;;x,,
gtfo_IRO_desc;We've had a good run, but it's time to end our rulership of Iroquois: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ITA_title;Grant Italy Independence;;;;;;;;;;;;x,,
gtfo_ITA_desc;We've had a good run, but it's time to end our rulership of Italy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ITZ_title;Grant Itza Independence;;;;;;;;;;;;x,,
gtfo_ITZ_desc;We've had a good run, but it's time to end our rulership of Itza: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JAP_title;Grant Japan Independence;;;;;;;;;;;;x,,
gtfo_JAP_desc;We've had a good run, but it's time to end our rulership of Japan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JER_title;Grant Jerusalem Independence;;;;;;;;;;;;x,,
gtfo_JER_desc;We've had a good run, but it's time to end our rulership of Jerusalem: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JGD_title;Grant Somnath Independence;;;;;;;;;;;;x,,
gtfo_JGD_desc;We've had a good run, but it's time to end our rulership of Somnath: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JIM_title;Grant Jimma Independence;;;;;;;;;;;;x,,
gtfo_JIM_desc;We've had a good run, but it's time to end our rulership of Jimma: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KBO_title;Grant Kanem Independence;;;;;;;;;;;;x,,
gtfo_KBO_desc;We've had a good run, but it's time to end our rulership of Kanem: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KCX_title;Grant Koch Independence;;;;;;;;;;;;x,,
gtfo_KCX_desc;We've had a good run, but it's time to end our rulership of Koch: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KHO_title;Grant Khorasan Independence;;;;;;;;;;;;x,,
gtfo_KHO_desc;We've had a good run, but it's time to end our rulership of Khorasan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KIC_title;Grant Kiche Independence;;;;;;;;;;;;x,,
gtfo_KIC_desc;We've had a good run, but it's time to end our rulership of Kiche: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KOR_title;Grant Korea Independence;;;;;;;;;;;;x,,
gtfo_KOR_desc;We've had a good run, but it's time to end our rulership of Korea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KTI_title;Grant Kutai Independence;;;;;;;;;;;;x,,
gtfo_KTI_desc;We've had a good run, but it's time to end our rulership of Kutai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KWN_title;Grant Mong Kawng Independence;;;;;;;;;;;;x,,
gtfo_KWN_desc;We've had a good run, but it's time to end our rulership of Mong Kawng: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KZB_title;Grant Kazembe Independence;;;;;;;;;;;;x,,
gtfo_KZB_desc;We've had a good run, but it's time to end our rulership of Kazembe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KZN_title;Grant Kazan Independence;;;;;;;;;;;;x,,
gtfo_KZN_desc;We've had a good run, but it's time to end our rulership of Kazan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LAC_title;Grant Tzotzil Independence;;;;;;;;;;;;x,,
gtfo_LAC_desc;We've had a good run, but it's time to end our rulership of Tzotzil: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LAN_title;Grant Lanfang Independence;;;;;;;;;;;;x,,
gtfo_LAN_desc;We've had a good run, but it's time to end our rulership of Lanfang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LNA_title;Grant Lan Na Independence;;;;;;;;;;;;x,,
gtfo_LNA_desc;We've had a good run, but it's time to end our rulership of Lan Na: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOM_title;Grant Milan Independence;;;;;;;;;;;;x,,
gtfo_LOM_desc;We've had a good run, but it's time to end our rulership of Milan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOU_title;Grant Prussian Louisiana Independence;;;;;;;;;;;;x,,
gtfo_LOU_desc;We've had a good run, but it's time to end our rulership of Prussian Louisiana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LXA_title;Grant Lan Xang Independence;;;;;;;;;;;;x,,
gtfo_LXA_desc;We've had a good run, but it's time to end our rulership of Lan Xang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAW_title;Grant Malwa Independence;;;;;;;;;;;;x,,
gtfo_MAW_desc;We've had a good run, but it's time to end our rulership of Malwa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MCA_title;Grant Muisca Independence;;;;;;;;;;;;x,,
gtfo_MCA_desc;We've had a good run, but it's time to end our rulership of Muisca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MED_title;Grant Medri Bahri Independence;;;;;;;;;;;;x,,
gtfo_MED_desc;We've had a good run, but it's time to end our rulership of Medri Bahri: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEW_title;Grant Mewar Independence;;;;;;;;;;;;x,,
gtfo_MEW_desc;We've had a good run, but it's time to end our rulership of Mewar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEX_title;Grant Ethical Mining Inc Independence;;;;;;;;;;;;x,,
gtfo_MEX_desc;We've had a good run, but it's time to end our rulership of Ethical Mining Inc: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MHR_title;Grant Mahra Independence;;;;;;;;;;;;x,,
gtfo_MHR_desc;We've had a good run, but it's time to end our rulership of Mahra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MIK_title;Grant Mikmaq Independence;;;;;;;;;;;;x,,
gtfo_MIK_desc;We've had a good run, but it's time to end our rulership of Mikmaq: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MIR_title;Grant Imerina Independence;;;;;;;;;;;;x,,
gtfo_MIR_desc;We've had a good run, but it's time to end our rulership of Imerina: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MIX_title;Grant Mixtec Independence;;;;;;;;;;;;x,,
gtfo_MIX_desc;We've had a good run, but it's time to end our rulership of Mixtec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MJP_title;Grant Majapahit Independence;;;;;;;;;;;;x,,
gtfo_MJP_desc;We've had a good run, but it's time to end our rulership of Majapahit: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MJZ_title;Grant Jianzhou Independence;;;;;;;;;;;;x,,
gtfo_MJZ_desc;We've had a good run, but it's time to end our rulership of Jianzhou: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MKS_title;Grant Makassar Independence;;;;;;;;;;;;x,,
gtfo_MKS_desc;We've had a good run, but it's time to end our rulership of Makassar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLC_title;Grant Malacca Independence;;;;;;;;;;;;x,,
gtfo_MLC_desc;We've had a good run, but it's time to end our rulership of Malacca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLW_title;Grant Maravi Independence;;;;;;;;;;;;x,,
gtfo_MLW_desc;We've had a good run, but it's time to end our rulership of Maravi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNX_title;Grant Ming Independence;;;;;;;;;;;;x,,
gtfo_MNX_desc;We've had a good run, but it's time to end our rulership of Ming: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MON_title;Grant Lesser Duklja Independence;;;;;;;;;;;;x,,
gtfo_MON_desc;We've had a good run, but it's time to end our rulership of Lesser Duklja: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOR_title;Grant Morocco Independence;;;;;;;;;;;;x,,
gtfo_MOR_desc;We've had a good run, but it's time to end our rulership of Morocco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOS_title;Grant Mossi Independence;;;;;;;;;;;;x,,
gtfo_MOS_desc;We've had a good run, but it's time to end our rulership of Mossi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MPA_title;Grant Mong Pai Independence;;;;;;;;;;;;x,,
gtfo_MPA_desc;We've had a good run, but it's time to end our rulership of Mong Pai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MPC_title;Grant Mapuche Independence;;;;;;;;;;;;x,,
gtfo_MPC_desc;We've had a good run, but it's time to end our rulership of Mapuche: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MRT_title;Grant Kalachuris Independence;;;;;;;;;;;;x,,
gtfo_MRT_desc;We've had a good run, but it's time to end our rulership of Kalachuris: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MSK_title;Grant Miskito Independence;;;;;;;;;;;;x,,
gtfo_MSK_desc;We've had a good run, but it's time to end our rulership of Miskito: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MTL_title;Grant Matlatzinca Independence;;;;;;;;;;;;x,,
gtfo_MTL_desc;We've had a good run, but it's time to end our rulership of Matlatzinca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MUG_title;Grant Mughals Independence;;;;;;;;;;;;x,,
gtfo_MUG_desc;We've had a good run, but it's time to end our rulership of Mughals: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MUL_title;Grant Multan Independence;;;;;;;;;;;;x,,
gtfo_MUL_desc;We've had a good run, but it's time to end our rulership of Multan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MUS_title;Grant Moskva Independence;;;;;;;;;;;;x,,
gtfo_MUS_desc;We've had a good run, but it's time to end our rulership of Moskva: if you love something, let it go!;;;;;;;;;;;;x
